988.1	1671457628.6225467
812.1	1671457629.3895144
688.6	1671457630.1231446
661.8	1671457631.0906014
876.8	1671457632.0246146
386.5	1671457632.9586248
16.1	1671457633.9259143
986.6	1671457634.8601682
680.6	1671457636.0276294
266.8	1671457636.9283805
289.6	1671457637.6289499
86.6	1671457638.5626564
762.6	1671457639.463435
863.6	1671457640.1972826
299.7	1671457641.2312407
718.6	1671457642.06446
628.6	1671457642.9326353
98.8	1671457643.933334
86.5	1671457644.5337205
886.6	1671457645.2652981
658.6	1671457646.5686233
80.0	1671457647.3359022
668.6	1671457648.102828
378.8	1671457649.301631
766.9	1671457650.1042151
708.7	1671457650.971847
181.6	1671457652.0057917
0.6	1671457652.7729437
0.8	1671457653.5401099
0.7	1671457654.6410842
0.8	1671457655.4415996
