0.0	1671453597.1923804
0.0	1671453598.7602143
0.0	1671453598.9939086
0.0	1671453599.2290976
0.0	1671453599.5959582
0.0	1671453599.8943734
0.0	1671453600.027776
0.0	1671453600.3613436
0.0	1671453600.5617082
0.0	1671453600.7616394
0.0	1671453601.8291066
0.0	1671453602.1294115
0.0	1671453602.3961935
0.0	1671453602.629667
0.0	1671453602.8297129
0.0	1671453603.2967658
0.0	1671453603.530385
0.0	1671453603.7972546
0.0	1671453604.0640273
0.0	1671453604.2974892
0.0	1671453604.5978584
0.0	1671453604.9315238
0.0	1671453605.2651017
0.0	1671453605.5319793
0.0	1671453605.798605
0.0	1671453606.1323748
0.0	1671453606.4659636
0.0	1671453606.4994574
0.0	1671453606.7327297
0.1	1671453607.0997252
0.1	1671453607.466731
0.1	1671453607.8668625
0.1	1671453608.2339482
0.2	1671453608.5673132
